key, en, derp
'country','Country',
'countries','Countries',
'site','Site',
'sites','Sites',
'criticalSites','Critical sites',
'sitesList','Sites list',
'speciesList','Species list',
'triggerSpeciesList','Trigger species list',
'species','Species',
'original_species','Scientific name',
'populations','Populations',
'populationname','Populations',
'original_popname','Populations',
'lookAlikeSpecies','Look-alike Species',
'guidelines','Guidelines',
'about','About',
'advancedSearch','Advanced search',
'stay-update','Stay update',
'site_name','IBA name',
'csn_site_name','Critical site name',
'csn_name','Critical site',
'scientific_name','Scientific name',
'english_name','English name',
'protected','Protected',
'family','Family',
'confusion_name','Look-alike name',
'confusion_species','No. of look-alike species populations',
'confusion_species_as','No. of look-alike species populations in Col A',
'confusion_population','Population',
'genus','Genus',
'country_status','Status',
'getStarted','Get started',
'back','Back',
'backToSpecies','Back to all species',
'backToCountries','Back to countries',
'backToSpecies','Back to species',
'backToSites','Back to sites',
'iba_criteria','IBA criteria',
'iba_species','No. IBA qualifying species',
'geometric_mean','Geometric Mean',
'season','Season',
'csn','CSN',
'csn_criteria','CSN criteria',
'csn_species','No. CSN qualifying species',
'iba','IBA',
'iso3','ISO',
'maximum','Maximum',
'minimum','Minimum',
'avg','Geographic mean',
'population','Population',
'a','A',
'b','B',
'c','C',
'original_a','A',
'original_b','B',
'original_c','C',
'flyway_range','Multispecies flyway',
'caf_action_plan','CMS CAF',
'eu_birds_directive','EU Birds directive',
'year_start','Start',
'year_end','End',
'size_min','Minimum',
'size_max','Maximum',
'ramsar_criterion','Ramsar criterion 6',
'table_1_status','Table 1 Status',
'total_percentage','Total %',
'ramsarCriterionTool','Ramsar Criterion 6',
'ramsarCriterionToolTitle','Ramsar Criterion 6 Thresholds',
'habitats','Habitats',
'habitat_name','Habitat name',
'habitat_level_1','Habitat level 1',
'habitat_level_2','Habitat level 2',
'groupBy','Group by',
'countriesFilter','Any term in the table',
'countriesNameSearch','Country name',
'searchBy','Search by',
'sitesFilter','Any term in the table',
'selectAnotherPoint','Select another point',
'speciesFilter','Any term in the table',
'iucn_category' : 'Red List category',
'occurrence_status' : 'Occurrence status',
'start' : 'Start',
'end' : 'End',
'units' : 'Units',
'percentfly','Percentage flyway',
'csn1','CSN 1',
'csn2','CSN 2',
'map','Map',
'table','Table',
'filterBy','Filter by',
'banner','The Critical Site Network (CSN) Tool is an online resource for the conservation of 294 species of waterbirds and the important sites upon which they depend in Africa and Western Eurasia.',
'iba_qualifying_species','IBA qualifying species',
'csn_qualifying_species','CSN qualifying species',
'iba_in_danger','IBA in Danger',
'toolUse','What can I use this tool for?',
'searchSites','Search sites',
'searchSpecies','Search species',
'searchPopulations','Search populations',
'searchForCountry','Search for a country',
'seeOccurringSpecies','and see all the occurring species',
'seeTheData','See the data',
'forParticularSite','for a particular site',
'searchForSpecies','Search for a species',
'seeCriticalSites','and see its critical sites',
'introText1','The tool makes it easy to obtain information on the sites critical for waterbird species by accessing several independent databases and analysing information at the biogeographical population level, so providing a comprehensive basis for management and decision making. It is designed to help a range of different users from site managers to national authorities and international organisations. The CSN Tool, one of the major achievements of the Wings Over Wetlands (WOW) project, is also an important example of the added value of cooperation between likeminded conservation organisations, international conventions and agreements, governments, UN agencies and other donors.',
'introText2','The CSN Tool supports both AEWA and the Ramsar Convention on Wetlands. It is also relevant to the EU Birds Directive and the Bern Convention’s Emerald Network.',
'geography','Geography',
'taxonomy','Taxonomy',
'habitat','Habitat',
'selectOneOption','Select at least one option',
'ramsar_region','Ramsar region',
'aewa_region','AEWA region',
'protection','Protection',
'site_threat','Site threat',
'site_habitat','Site habitat',
'red_list_status','Red list status',
'aewa_annex_2','AEWA annex 2',
'species_threat','Species threat',
'species_habitat_association','Species habitat association',
'aewa_table_1_status','AEWA table 1 status',
'eu_birds_directive','EU birds directive',
'cms_caf_action_plan','CMS CAF action plan',
'multispecies_flyway','Multispecies flyway',
'population_trend','Population trend'
